participantID,condition,meanCartoon
4,smile,5
5,pout,5
7,pout,4.5
8,smile,3.25
10,smile,7.5
11,pout,5.25
13,pout,5.25
14,smile,4.25
15,pout,4
16,smile,2.75
17,pout,6
19,pout,2.25
20,smile,4
21,pout,2.25
23,pout,4
24,smile,5.5
25,pout,4.25
26,smile,5
27,pout,4.25
28,smile,6
30,smile,2
32,smile,5.25
33,pout,2.25
34,smile,4.75
35,pout,4.75
36,smile,4.25
37,pout,3
38,smile,2.5
39,pout,5
41,pout,5.25
44,smile,4
45,pout,3.25
46,smile,2.25
47,pout,3.75
48,smile,5.5
49,pout,7.5
51,pout,5.5
52,smile,5
53,pout,4.25
54,smile,3.75
55,pout,4.25
58,smile,4.25
60,smile,6.75
61,pout,4
62,smile,4.25
64,smile,5.25
65,pout,6.5
66,smile,5.25
67,pout,6.25
68,smile,5
69,pout,7.25
70,smile,5
71,pout,5
72,smile,1.5
75,pout,5
77,pout,5.75
78,smile,4.5
79,pout,2.75
80,smile,4.25
81,pout,5.25
84,smile,4
85,pout,6.5
86,smile,2.5
88,smile,1.75
89,pout,6.5
90,pout,5.25
91,smile,6.5
92,pout,4.5
93,smile,6.5
94,pout,3.25
97,smile,4.25
98,pout,4
99,smile,6.25
100,pout,5.5
103,smile,6.5
105,smile,3.5
107,smile,7.25
108,pout,5.5
109,smile,3.75
110,pout,2
111,smile,4.5
112,smile,5
117,pout,5.25
118,smile,3.75
119,smile,6.75
120,pout,6.75
121,smile,7.5
122,pout,4.25
123,smile,6
125,smile,5.75
127,smile,6.25
130,pout,5.75
132,smile,3.75
133,smile,3.25
135,smile,4
136,pout,4.25
137,smile,3.25
138,pout,5.75
140,pout,4.75
141,pout,4.75
142,pout,5.25
143,pout,7.25
144,pout,5
145,pout,5
146,pout,5.75
147,pout,5.75
148,pout,3.5
149,pout,6.25
150,pout,4.5
